strain,gisaid_epi_isl,originating_lab,submitting_lab,authors
hCoV-19/Aruba/AW-RIVM-76951/2021,EPI_ISL_8586639,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Stijn van Rossum, Linda van Someren, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Iraq/BG-USAFSAM-S20125/2022,EPI_ISL_15889751,US Air Force School of Aerospace Medicine,US Air Force School of Aerospace Medicine,"Anthony Fries, Deanna Muehleman, Jennifer Meyer, William Gruner, Kelsey Lanter, Carol Garrett, Sarah Purves, Clarise Starr, Elizabeth Macias"
hCoV-19/Curacao/CW-RIVM-121961/2022,EPI_ISL_16445588,Dutch COVID-19 response team,National Institute for Public Health and the Environment (RIVM),"Adam Meijer, Harry Vennema, Dirk Eggink, Jeroen Cremer, Sharon van den Brink, Bas van der Veer, AnneMarie van den Brandt, Lisa Wijsman, Kim Freriks, Ryanne Jaarsma, Lynn Aarts, Sanne Bos, Jil Kocken, Jordy de Bakker, Afke Vogelzang, Florian Zwagemaker, Dennis Schmitz, Annelies Kroneman, Karim Hajji, Ivo van Walle, Chantal Reusken, on behalf of the national COVID-19 response team"
hCoV-19/Dominican Republic/2082399-LNSPDD/2022,EPI_ISL_15647865,Laboratorio Nacional de Salud Pública Dr. Defilló,Laboratorio Nacional de Salud Pública Dr. Defilló,"Isaac Miguel Sánchez, Carlos Vergara Castillo, Francisco Cuevas, Edwin Féliz, Anny Peña, Pedro Martinez, Yeny E. Lara Perez, Robinson Agramonte"
hCoV-19/Mozambique/INS-PCS0026694/2022,EPI_ISL_16086282,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Mozambique/INS-PMB0617901/2022,EPI_ISL_16086281,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Lesotho/MHML-93402/2023,EPI_ISL_16641610,National Reference Laboratories,National Reference Laboratory - Ministry of Health Maseru Lesotho,"Marelebogile Pooe, Justen Manasa, Tiisetso Koekoe, Tholoana Ramokhoro, Mamajalla Mofelehetsi, Thato Seotsa, Palesa Khotso, Mamotubehi Tikiso, Lula Budiaki, Marethabile Mooko Matobo, Selloane Setlaba, Richard Banda, Limpho Maile, Mathabo Mareka"
hCoV-19/Mozambique/INS-PMB0620290/2022,EPI_ISL_16086284,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Mozambique/INS-PMB0618717/2022,EPI_ISL_16086283,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/USA/MS-UMMC-M1007G7-534664/2022,EPI_ISL_15992458,"University of Mississippi Medical Center, Department of Pathology","University of Mississippi Medical Center, Molecular and Genomics Core Facility","Raima Sen, Jake R. Johnston, Kathryn Hellmann, Ithiel J. Frame, Sirisha R. Tippani, Michael R. Garrett, D. Ashley Robinson"
hCoV-19/Brunei/7722016368/2022,EPI_ISL_16167097,National Virology Reference Laboratory,Microbial Genomic Services,"Zainun Zaini, Nor Azian Hafneh, Haziq Momin, Nur Amirah Ibarahim, Amal Nabihah Ahmad, Nur Husnina Khairil, Maslina Abdullah"
hCoV-19/Mozambique/INS-PMB0618220/2022,EPI_ISL_16086286,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Argentina/INEI118212/2022,EPI_ISL_9261709,Servicio Virosis Respiratorias-Departamento Virología-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,"Baumeister E., Avaro M., Benedetti E., Russo M., Dattero ME, Pontoriero A., Cisterna D., Molina V., Perandones C., Tuduri E., De Belder D., Sanchez Loria J., Haim MS., Lorenzo F., Poklepovich T., Campos J."
hCoV-19/Mozambique/INS-PCS0026964/2022,EPI_ISL_16086288,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Brazil/AM-FIOCRUZ-ILMD2205665/2022,EPI_ISL_15603403,Laboratório Central de Saúde Pública do Amazonas - LACEN-AM,"Laboratório de Ecologia de Doenças Transmissíveis na Amazônia, Instituto Leônidas e Maria Deane - Fiocruz Amazônia","Dejanane Silva, Valdinete Nascimento, Victor Souza, Fernanda Nascimento, George Silva, Matilde Mejía, Luciana Gonçalves, Maria Júlia Brandão, Felipe Naveca on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/Mozambique/INS-PCS0026995/2022,EPI_ISL_16086287,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Brazil/MG-FIOCRUZ-4400/2023,EPI_ISL_16917404,Laboratorio de Biologia Molecular,Instituto Rene Rachou - Fiocruz Minas Gerais,"Thais Silva, Eneida Oliveira, Anna Salim, Flavio Araujo, Caroline Rocha, Andre Menezes, Rubens do Monte Neto, Gabriel Fernandes, Pedro Alves, On behalf of the Fiocruz COVID-19 Genomic Surveillance Network"
hCoV-19/Mozambique/INS-PCS0027060/2022,EPI_ISL_16086289,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Puerto Rico/PR-PRI65344/2022,EPI_ISL_17053609,INNO Diagnostics Reference Laboratory,"RCMI Center for Research Resources, Ponce Research Institute","Vanessa Rivera-Amill, Andrea Arias-García, Raphael Sánchez-Torres"
hCoV-19/Argentina/PAIS-A1660/2022,EPI_ISL_16045331,Laboratorio de Biología molecular del Hospital General de Agudos Dr. Carlos G. Durand,Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium),"Clara Theaux, Guillermo Notaristéfano, María Belén Rodríguez Cardozo, Constanza Marina, Noelia Anzorena, Estela Dima, Cecilia Irrazábal, Lucas Dahinten, Camila Elsegood, Silvia Matillas, Natasha Frisone, Albano Costa, Nuria Cañellas Walter Loayza, Martín Rodríguez Saá, Natalia Chiussi, Noelia Narduzzi, Anisa Marchissio, Belen Warszatska, Ailin Domínguez, Maricel Leivas, Maryury Colina, Adriana Rozo, Laura Jurado, María Fernanda Yaunguzian, Romina Gatica, Flavia Rivarola, Rocío Carrón, Yesica Castro. Promoción y Protección de la Salud: Miriam Bruno, Eugenia Langan, Laura Álvarez, Acuña, D, Nabaes Jodar, MS, Goya, S, Natale, MI, Lusso, S, Valinotto, LE, Viegas, M."
hCoV-19/Canada/NL-PHML-549605/2022,EPI_ISL_16100678,NL-Dr. Leonard A. Miller Centre for Health Services,Newfoundland and Labrador - Eastern Health,"Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Natalie Knox, Morag Graham, Gary Van Domselaar, Robert Needle, Yang Yu, George Zahariadis, Phil Andrews, Christopher Corkum, Geoffrey Woodland, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Ana Duggan, Kirsten Biggar, CanCOGeN's metadata curation team, Public Health Agency of Canada CanCOGeN team"
hCoV-19/New Zealand/22YA4166/2022,EPI_ISL_15956758,Taranaki Pathology Services,Institute of Environmental Science and Research (ESR),"Sarah Cockerton, Clare Gebbie, Dhanisha Patel, Rachel Boyle, SallyAnn Harbison, Olivia Stroeven, Xiaoyun Ren, Matt Storey, Nikki Freed, Muhammad Faisal, Jing Wang, Hermes Perez, Bethany Forsythe, Anja Werno, Antje van der Linden, Arlo Upton, Chris Mansell, David Hammer, Dragana Drinkovic, Gary McAuliffe, Hana Sofia Andersson, James Ussher, Jill Sherwood, Josh Freeman, Julia Howard, Juliet Elvy, Mary DeAlmeida, Matt Blakiston, Matthew Rogers, Max Bloomfield, Michael Addidle, Michelle Balm, Sally Roberts, Sarah Jefferies, Sharmini Muttaiyah, Susan Morpeth, Susan Taylor, Timothy Blackmore, Vani Sathyendran, Veronica Playle, Virginia Hope, Erasmus Smit, Yoryea Mantziou-Hogg, Lauren Jelly, Olin Silander, Kirti Deo, Ana Claasen, Subin Jeon, Joep de Ligt, David Winter, Abbey Huriwai, Anju Keenan, Laura Kerr, Tisiola Talalima, Amy Bradhsaw, Klarysse Berquist"
hCoV-19/Trinidad and Tobago/383177/2022,EPI_ISL_15581538,Trinidad Public Health Laboratory,"Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus","Nikita S. D. Sahadeo, Arianne Brown Jordan, Vernie Ramkissoon, Anushka Ramjag, Soren Nicholls, Nicholas Mohammed, Roshan Parasram, Avery Hinds, Zobida Khan-Mohammed, Christine V. F. Carrington"
hCoV-19/Ghana/WACCBIP-GS4276/2022,EPI_ISL_16698982,"WACCBIP, Volta Road, University of Ghana, Accra, Ghana","WACCBIP, Volta Road, University of Ghana, Accra, Ghana","Collins M. Morang'a, Joyce M. Ngoi, Dominic S. Y. Amuzu, Vincent Appiah, Philip M. Soglo, Violette V. M'cormack, Samirah Saiid, Kukua Bandoh, Dzidzor Y. Ayeke, Cyril M. Kuma, Maame E. Mpere, Genevieve Bugah, Charles Ansah, Limi Ignitius, Ransford Essel, Derek Paintsil, Emmanuel Owusu, Ahidjo Ayouba, Nicolas Fernandez, Rachida Tahar, Nicaise T. Ndam, Gloria Amegatcher, Yaw Bediako, Peter K. Quashie, Lucas N. Amenga-Etego, and Gordon A. Awandare"
hCoV-19/USA/LA-CDC-STM-CQ7KRPANT/2022,EPI_ISL_9374752,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard,Dhwani Batra,Peter Cook,Jason Caravas,Benjamin Rambo-Martin,Scott Sammons,Yvette Unoarumhi,Matthew Schmerer,Kristine Lacek,Tymeckia Kendall,Victoria Caban Figueroa,Helix CA,Shatavia Morrison,Christopher Gulvick,Erisa Sula,Clinton Paden,Duncan MacCannell"
hCoV-19/Uganda/684/2022,EPI_ISL_15718879,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Uruguay/DLSP_p2295/2021,EPI_ISL_12532653,Departamento Laboratorios de Salud P�blica (DLSP) Ministerio de Salud P�blica,Departamento Laboratorios de Salud P�blica (DLSP) Ministerio de Salud P�blica,"Cortinas, M.N., Goni, N., Ramas, V., Bormida, V., Morel, N., Coppola, L., Burgueno, A., Perez, R., Panzera, Y., Chiparelli, H., Mogdasy, C."
hCoV-19/Oman/5239/2023,EPI_ISL_17026467,Central Public Health Laboratories-Sultanat of Oman,Central Public Health Laboratories-Sultanat of Oman,"Yathrib Al Zakwani, Samiha Al Kharusi, Aisha Al Amri, Laila Al Balushi, Intisar Al Shukri, Amina Al Jardani, Hanan Al Kindi"
hCoV-19/South Africa/NICD-N49703/2022,EPI_ISL_15444851,UNIVERSITAS ACADEMIC LABORATORY,National Institute for Communicable Diseases of the National Health Laboratory Service,"Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Indonesia/JK-CW62-3640/2022,EPI_ISL_16486902,Fakultas Kedokteran Universitas Indonesia (FKUI),National Quality Control Laboratory of Drug and Food,"Sri U, Sofia D.U, M. Erdiansyah, Dilin N., Hana Apsari Pawestri"
hCoV-19/Mexico/NLE-LESPNL-007970/2022,EPI_ISL_16066282,Laboratorio Estatal de Salud Publica de Nuevo Leon,Laboratorio Estatal de Salud Publica de Nuevo Leon,"(in alphabetical order) Eduardo Isaac de la Rosa-Moreno, Edwin Antonio Reyes-Olvera, Else del Carmen Garcia-Garcia, Idamar Coré Barroso-Servin, Karla Beatriz Fernandez-Cano"
hCoV-19/Puerto Rico/PR-CVL-013077/2023,EPI_ISL_17226910,Laboratorio Clinico Toledo,PRCVSI,"Lorraine D Rodriguez-Rivera, Ednalise Santiago-Cartagena, Dariana Morales-Vazquez, Janice Lozada-Delgado, Luis Acevedo-Marquez, Gabriela Morales-Vila, Jeriel Carrasquillo-Cruz, Marcos Lopez-Casillas"
hCoV-19/Mexico/NLE-LESPNL-007996/2022,EPI_ISL_16066281,Laboratorio Estatal de Salud Publica de Nuevo Leon,Laboratorio Estatal de Salud Publica de Nuevo Leon,"(in alphabetical order) Eduardo Isaac de la Rosa-Moreno, Edwin Antonio Reyes-Olvera, Else del Carmen Garcia-Garcia, Idamar Coré Barroso-Servin, Karla Beatriz Fernandez-Cano"
hCoV-19/Trinidad and Tobago/357104/2022,EPI_ISL_15588172,Trinidad Public Health Laboratory,"Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus","Nikita S. D. Sahadeo, Arianne Brown Jordan, Vernie Ramkissoon, Anushka Ramjag, Soren Nicholls, Nicholas Mohammed, Roshan Parasram, Avery Hinds, Zobida Khan-Mohammed, Christine V. F. Carrington"
hCoV-19/Chile/ML-PUC_MVL_2595/2022,EPI_ISL_13509202,Laboratorio de Infectologia y Virologia Molecular,"Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile","Catalina Pardo-Roa, Leonardo I. Almonacid, Eugenia L. Fuentes Luppichini, Andres E. Munoz-Marcos, Jennifer Angulo, Erick Salinas, Tamara Garcia-Salum, Maria Jose Avendano, Estefany Poblete, Ana Maria Contreras, Carlos Palma, Jorge Levican, Eileen Serrano, Constanza Maldonado, M. Belen Leyton, Francisco Melo, Marcela Ferres, Rafael A. Medina."
hCoV-19/Uganda/670/2022,EPI_ISL_15718870,unknown,Central Public Health Laboratories,"Alisen Ayitewala, Stephen Kanyerezi, Ivan Sserwadda, Wilson Tenywa, Julius Sseruyange, Rosette Oundo, Patrick Semanda, Hellen Nansumba, Sam Karungi, Susan Nabadda, Isaac Ssewanyana"
hCoV-19/Brazil/RS-FIOCRUZ-IAM4466/2020,EPI_ISL_16879057,Universidade Federal de Santa Maria,IAM,"Elgion Lucio Silva Loreto, Monica Medeiros Silva, Eduardo Furtado Flores, João Batista Teixeira da Rocha, José Valter Joquim Silva Júnior, Patricia Chaves Brites, Marcelo Henrique dos Santos Paiva, Cassia Docena, Matheus Filgueira Bezerra, Filipe Zimmer Dezordi, Lais Ceschini Machado, Lilian Caroliny Amorim Silva, Gustavo Barbosa de Lima, Alexandre Freitas da Silva, Sinval Pinto Brandão Filho, Constância Flávia Junqueira Ayres, Gabriel Luz Wallau"
hCoV-19/Thailand/MTM_01_613/2022,EPI_ISL_16862617,"Clinical Trial Unit, Hospital for Tropical Diseases","Molecular Malaria Laboratory, Mahidol Oxford Tropical Medicine Research Unit","Faculty of Tropical Medicine, Mahidol University; Mahidol-Oxford Tropical Medicine Research Unit; The Wellcome Trust"
hCoV-19/South Africa/NICD-N50719/2022,EPI_ISL_15963062,EUGENE MARAIS DEPOT,National Institute for Communicable Diseases of the National Health Laboratory Service,"Everatt J, Kekana D, Ntozini B, Mahlangu B, Stock N, Ntuli N, Mnguni A, Motsatsi G, Nzimande A, Ismail A, Scheepers C, Bhiman JN, Wolter N"
hCoV-19/Mozambique/INS-PTC0092811/2022,EPI_ISL_16086295,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Thailand/CU-A220956/2022,EPI_ISL_16259245,King Chulalongkorn Memorial Hospital,"Thai Red Cross Emerging Infectious Diseases Clinical Center and Faculty of Medicine, Chulalongkorn University","Opass Putcharoen, Stefan Fernandez, Leilani Paitoonpong, Anthony R. Jones, Gompol Suwanpimolkul, Chonticha Klungthong, Watsamon Jantarabenjakul, Piyawan Chinnawirotpisan, Pattama Torvorapanit, Khajohn Joonlasak, Wudtichai Manasatienkij, Ananporn Supataragul, Nattakarn Thippamom, Sininat Petcharat, Wiparat Khunnawutmanotham, Supaporn Wacharapluesadee"
hCoV-19/USA/WI-CDC-VSX-A063166/2023,EPI_ISL_17190990,Helix,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery","Dakota Howard, Dhwani Batra, Peter Cook, Jason Caravas, Benjamin Rambo-Martin, Yvette Unoarumhi, Matthew Schmerer, Kristine Lacek, Helix CA, Shatavia Morrison, Christopher Gulvik, Erisa Sula, Clinton Paden, Paritra Mandal, Moneeb Bajwa, Natalie Thornburg, Reina Chau, Paritra Mandal, Nehalraza Momin, Duncan MacCannell"
hCoV-19/Sri Lanka/0065/2022,EPI_ISL_16829073,Teaching Hospital-Karapitiya,Teaching Hospital-Karapitiya,"Dr. Buddhini Samaraweera, Dr. Vigeetha Vithanage, Mr.GKJN Udara"
hCoV-19/Mozambique/INS-PCS0027337/2022,EPI_ISL_16086299,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,Biotechnology and Genetics Laboratory - Instituto Nacional de Saúde,"Sofia Viegas, Nalia Ismael, Mirela Pale, Cacildo Magul, Nuro Abilio, Samuel Chumane, Aventina Macuacua"
hCoV-19/Canada/NL-PHML-549612/2022,EPI_ISL_16100684,NL-Dr. Leonard A. Miller Centre for Health Services,Newfoundland and Labrador - Eastern Health,"Anna Majer, Shari Tyson, Grace Seo, Philip Mabon, Elsie Grudeski, Rhiannon Huzarewich, Russell Mandes, Anneliese Landgraff, Jennifer Tanner, Natalie Knox, Morag Graham, Gary Van Domselaar, Robert Needle, Yang Yu, George Zahariadis, Phil Andrews, Christopher Corkum, Geoffrey Woodland, Nathalie Bastien, Yan Li, Timothy Booth, Darian Hole, Madison Chapel, Ana Duggan, Kirsten Biggar, CanCOGeN's metadata curation team, Public Health Agency of Canada CanCOGeN team"
hCoV-19/Spain/AN-CBA-29262/2022,EPI_ISL_16471425,"Servicio de Microbiologia, Hospital Universitario Virgen del Rocio, Sevilla, Spain","Clinical Bioinformatics Area, Fundación Progreso y Salud",María Lara on behalf of SARS-CoV-2 whole genome sequencing circuit of Andalusia
hCoV-19/Ecuador/NIC-INSPI-8091825/2022,EPI_ISL_15899131,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS-INTERLAB,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Stephania Almeida, Ana Márquez, Daniela Bravo, David Fernández, Paula Gavilanes, Juan Carlos Fernández Cadena, Diego Morales, Rubén Armas"
hCoV-19/Georgia/Tb-s7418/2022,EPI_ISL_17182900,Adjara Public Health Center,"Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","Giorgi Tomashvili, Giorgi Gogoladze, Meri Pantsulaia, Gvantsa Brachveli, Ana Papkiauri, Salome Javashvili, Gvantsa Chanturia, Ann Machablishvili, Paata Imnadze"
hCoV-19/Ecuador/NIC-INSPI-432111/2022,EPI_ISL_15899132,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS,"Alfredo Bruno, Michelle Páez, Jimmy Garcés, Maritza Olmedo, Diego Morales, Rubén Armas"
hCoV-19/Ireland/KK-NVRL-ecS22IRL00454687/2022,EPI_ISL_15839442,National Virus Reference Laboratory,National Virus Reference Laboratory,"Zoe Yandle, Charlene Bennett, Gabriel Gonzalez, Michael Carr, Jonathan Dean, Cillian F De Gascun"
hCoV-19/Haiti/49230074/2020,EPI_ISL_14186895,LABORATOIRE NATIONAL DE SANTÉ PUBLIQUE,"Laboratory of Parasitic Diseases, Systems Genomics Section, National Institute of Allergy and Infectious Diseases, National Institutes of Health","Samson Marseille, Jacques Boncy, Stanley Juin, Mireille B. Kalou, Ito Journel, Stephanie Banakis, Allie Kreitman, Christopher Mederos, Alexandra Mushegian, Elodie Ghedin"
hCoV-19/Solomon Islands/SOL316/2022,EPI_ISL_16049702,National Referral Hospital Molecular Laboratory,Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL),"Jilini, G., Solomon, J., Darcy, A. W., Seemann, T., Horan, K., Sherry, N.L."
hCoV-19/Ghana/WACCBIP-GS4187/2022,EPI_ISL_16698994,"WACCBIP, Volta Road, University of Ghana, Accra, Ghana","WACCBIP, Volta Road, University of Ghana, Accra, Ghana","Collins M. Morang'a, Joyce M. Ngoi, Dominic S. Y. Amuzu, Vincent Appiah, Philip M. Soglo, Violette V. M'cormack, Samirah Saiid, Kukua Bandoh, Dzidzor Y. Ayeke, Cyril M. Kuma, Maame E. Mpere, John B. Kuuzuing, Ahidjo Ayouba, Nicolas Fernandez, Rachida Tahar, Nicaise T. Ndam, Gloria Amegatcher, Yaw Bediako, Peter K. Quashie, Lucas N. Amenga-Etego, and Gordon A. Awandare"
